names,platforms,release_dates,meta_scores,game_descriptions,user_scores,ageRatings,gameDevs,gameGenres
Red Dead Redemption 2,Xbox One,"October 26, 2018",97,"Developed by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The end of the Wild West era has begun. After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang has to rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal fissures threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang that raised him. [Rockstar]",7.8,M,Rockstar Games,"Action Adventure, Open-World"
Grand Theft Auto V,Xbox One,"November 18, 2014",97,"Grand Theft Auto 5 melds storytelling and gameplay in unique ways as players repeatedly jump in and out of the lives of the game's three protagonists, playing all sides of the game's interwoven story.",7.8,M,Rockstar North,"Action Adventure, Modern, Open-World"
Metal Gear Solid V: The Phantom Pain,Xbox One,"September 1, 2015",95,"Following the prologue METAL GEAR SOLID V: GROUND ZEROES, METAL GEAR SOLID V: THE PHANTOM PAIN concludes the METAL GEAR SOLID V experience by following the story of the protagonist of the series, Big Boss (a.k.a. Snake). The METAL GEAR SOLID V experience is Creator and Director Hideo Kojima's first time incorporating open world gameplay to the groundbreaking METAL GEAR franchise.",7.4,M,"Kojima Productions, Moby Dick Studio","Modern, Modern, Action Adventure, Open-World"
Celeste,Xbox One,"January 26, 2018",94,"Help Madeline survive her journey to the top of Celeste Mountain in this super-tight, hand-crafted platformer from the creators of TowerFall.",6.9,E10+,Matt Makes Games Inc.,"Action, Platformer, 2D"
Resident Evil 2,Xbox One,"January 25, 2019",93,"In Resident Evil 2, the classic action, tense exploration, and puzzle solving gameplay that defined the Resident Evil series returns. Players join rookie police officer Leon Kennedy and college student Claire Redfield, who are thrust together by a disastrous outbreak in Raccoon City that transformed its population into deadly zombies. Both Leon and Claire have their own separate playable campaigns, allowing players to see the story from both characters’ perspectives. The fate of these two fan favorite characters is in players hands as they work together to survive and get to the bottom of what is behind the terrifying attack on the city. Will they make it out alive?",8.6,M,Capcom R&D Division 1,"Action Adventure, Survival"
INSIDE,Xbox One,"June 29, 2016",93,"Hunted and alone, a boy finds himself drawn into the center of a dark project. The second game from Limbo developer Playdead.",8.3,M,PLAYDEAD,"Action, Platformer, 2D"
Forza Horizon 4,Xbox One,"September 28, 2018",92,"For the first time in the racing and driving genre, experience dynamic seasons in a shared open-world. Explore beautiful scenery, collect over 450 cars, and become a Horizon Superstar in historic Britain.",8.0,E,Playground Games,"Racing, Simulation, Automobile"
Divinity: Original Sin II - Definitive Edition,Xbox One,"August 31, 2018",92,"Set a thousand years after the first game, Divinity: Original Sin II presents a darker, more grounded narrative and expands on the tactical combat system of its award-winning predecessor. In Divinity: Original Sin, you were on a quest for the forbidden Source magic. Now, you yourself are a Sourcerer: a dangerously powerful individual whose abilities summon creatures from the encroaching Void. The Divine is dead and the Void is everywhere. Sourcerers are blamed and the Divine Order is leading the charge against the threat: you. Captured and sent to Fort Joy, you will be ""cured"" of your powers -- no matter the cost. But the Order has secrets of its own that may cast doubt on its so-called holy mission. As you escape from Fort Joy, you realize that if the world remains godless, it will be consumed by the Void.",7.8,M,Larian Studios Games,"Role-Playing, Western-Style"
What Remains of Edith Finch,Xbox One,"July 19, 2017",92,What Remains of Edith Finch is a collection of short stories about a cursed family in Washington State.,7.7,T,Giant Sparrow,"Adventure, 3D, First-Person"
Forza Horizon 3,Xbox One,"September 23, 2016",91,"You are now in charge of the Horizon Festival. Customize everything, hire and fire your friends, and explore Australia in over 350 of the world’s greatest cars. Make your Horizon the ultimate celebration of cars, music, and freedom of the open road. How you get there is up to you. With the new Horizon Blueprint feature, you have the power to create and instantly share your custom gameplay. You can even hire friends to star in your festival and win you more fans. If they’re not winning you fans, fire them. Danger Sign Jumps, Convoys, Drift Zones, and Showcase events that pit you and against a fleet of speedboats, a giant zeppelin, and more. Select your own driver character, customize your cars, create vanity license plates – even choose your own horn sound. Drive to the music you love choosing from eight diverse radio stations, or create a custom station using your own music collection. In addition to 12-player online free roam and multiplayer racing, all-new 4-player online co-op allows you and your friends to enjoy the variety, competition, and rewards of a Horizon campaign together for the first time. [Xbox.com]",8.0,E,Playground Games,"Racing, Simulation, Automobile"
